TripId      GuideId    
----------- -----------
          1           4
          1           5
          2           1
          2           2
          3           2
          3           5
          4           4
          5           3
          6           1
          6           4
          7           1
          7           2
          8           2
          8           5
          9           1
          9           4
         10           3
         11           2
         12           1
         12           5
         13           2
         13           5
         14           1
         14           4
         15           3
         16           1

(26 rows affected)
